description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds,date,country,city
clear sky,282.99,282.58,280.55,286.86,1028,49,10000.0,1.54,230,0,2023-07-16 23:31:17 UTC,ZA,Pretoria
clear sky,283.02,282.61,280.55,287.41,1028,49,10000.0,1.54,230,0,2023-07-16 23:42:38 UTC,ZA,Pretoria
clear sky,283.02,282.61,280.55,287.41,1028,49,10000.0,1.54,230,0,2023-07-16 23:42:38 UTC,ZA,Pretoria
clear sky,282.73,282.28,280.55,284.93,1028,49,10000.0,1.54,230,0,2023-07-16 23:53:23 UTC,ZA,Pretoria
clear sky,284.38,282.5,280.84,284.38,1027,36,10000.0,2.29,160,0,2023-07-17 00:07:12 UTC,ZA,Pretoria
clear sky,284.38,282.5,280.84,284.38,1027,36,10000.0,2.29,160,0,2023-07-17 00:07:12 UTC,ZA,Pretoria
clear sky,281.62,281.62,279.32,284.38,1028,49,10000.0,0.51,100,0,2023-07-17 00:23:15 UTC,ZA,Pretoria
clear sky,281.62,281.62,279.32,284.38,1028,49,10000.0,0.51,100,0,2023-07-17 00:23:15 UTC,ZA,Pretoria
clear sky,281.62,281.62,279.32,284.38,1028,49,10000.0,0.51,100,0,2023-07-17 00:23:15 UTC,ZA,Pretoria
clear sky,281.62,281.62,279.32,284.38,1028,49,10000.0,0.51,100,0,2023-07-17 00:23:15 UTC,ZA,Pretoria
clear sky,281.62,281.62,279.32,284.38,1028,49,10000.0,0.51,100,0,2023-07-17 00:23:15 UTC,ZA,Pretoria
clear sky,281.62,281.62,279.32,284.38,1028,49,10000.0,0.51,100,0,2023-07-17 00:23:15 UTC,ZA,Pretoria
clear sky,281.74,281.74,279.32,284.38,1028,49,10000.0,0.51,100,0,2023-07-17 00:45:16 UTC,ZA,Pretoria
clear sky,281.7,281.7,279.32,284.38,1028,49,10000.0,0.51,100,0,2023-07-17 00:59:42 UTC,ZA,Pretoria
clear sky,283.15,282.76,279.84,283.82,1028,44,10000.0,1.54,210,0,2023-07-17 01:15:24 UTC,ZA,Pretoria
clear sky,283.15,282.76,279.84,283.82,1028,44,10000.0,1.54,210,0,2023-07-17 01:15:24 UTC,ZA,Pretoria
clear sky,290.51,289.29,288.32,292.84,1032,38,10000.0,0.0,0,0,2023-07-17 10:28:05 UTC,ZA,Pretoria
clear sky,290.97,289.8,289.55,293.01,1032,38,10000.0,0.0,0,0,2023-07-17 10:57:09 UTC,ZA,Pretoria
clear sky,290.97,289.8,289.55,293.01,1032,38,10000.0,0.0,0,0,2023-07-17 10:57:09 UTC,ZA,Pretoria
clear sky,292.64,291.61,291.86,293.84,1029,37,10000.0,0.77,182,0,2023-07-17 11:07:41 UTC,ZA,Pretoria
clear sky,292.53,291.39,292.35,293.84,1031,33,10000.0,0.51,80,0,2023-07-17 11:16:06 UTC,ZA,Pretoria
clear sky,292.53,291.39,292.35,293.84,1031,33,10000.0,0.51,80,0,2023-07-17 11:16:06 UTC,ZA,Pretoria
clear sky,292.52,291.37,292.35,293.84,1031,33,10000.0,0.51,80,0,2023-07-17 11:27:42 UTC,ZA,Pretoria
clear sky,293.25,292.15,292.55,294.12,1031,32,10000.0,0.51,80,0,2023-07-17 11:41:08 UTC,ZA,Pretoria
clear sky,293.35,292.26,292.55,294.59,1031,32,10000.0,0.51,80,0,2023-07-17 11:56:00 UTC,ZA,Pretoria
clear sky,294.26,293.24,293.32,294.93,1031,31,10000.0,1.54,240,0,2023-07-17 12:32:47 UTC,ZA,Pretoria
clear sky,295.03,293.95,294.55,295.84,1029,26,10000.0,0.51,50,0,2023-07-17 13:26:57 UTC,ZA,Pretoria
clear sky,294.9,293.86,294.55,295.92,1029,28,10000.0,0.51,50,0,2023-07-17 13:31:32 UTC,ZA,Pretoria
clear sky,294.9,293.86,294.55,295.92,1029,28,10000.0,0.51,50,0,2023-07-17 13:31:32 UTC,ZA,Pretoria
clear sky,294.9,293.86,294.55,295.92,1029,28,10000.0,0.51,50,0,2023-07-17 13:31:32 UTC,ZA,Pretoria
clear sky,295.24,294.24,294.55,295.92,1029,28,10000.0,0.51,50,0,2023-07-17 13:48:17 UTC,ZA,Pretoria
clear sky,295.24,294.24,294.55,295.92,1029,28,10000.0,0.51,50,0,2023-07-17 13:48:17 UTC,ZA,Pretoria
clear sky,295.23,294.22,294.55,295.92,1029,28,10000.0,0.51,50,0,2023-07-17 13:57:08 UTC,ZA,Pretoria
clear sky,295.23,294.22,294.55,295.92,1029,28,10000.0,0.51,50,0,2023-07-17 13:57:08 UTC,ZA,Pretoria
clear sky,295.38,294.36,295.13,295.88,1029,27,10000.0,1.03,280,0,2023-07-17 14:18:03 UTC,ZA,Pretoria
clear sky,295.39,294.35,295.13,295.88,1029,26,10000.0,1.03,280,0,2023-07-17 14:26:16 UTC,ZA,Pretoria
clear sky,295.39,294.35,295.13,295.88,1029,26,10000.0,1.03,280,0,2023-07-17 14:26:16 UTC,ZA,Pretoria
clear sky,295.68,294.67,295.32,296.34,1029,26,10000.0,1.03,280,0,2023-07-17 14:39:26 UTC,ZA,Pretoria
clear sky,295.42,294.38,295.13,295.92,1029,26,10000.0,1.03,280,0,2023-07-17 14:50:52 UTC,ZA,Pretoria
clear sky,295.43,294.37,295.14,296.3,1025,25,10000.0,0.09,232,0,2023-07-17 15:00:58 UTC,ZA,Pretoria
clear sky,295.63,294.59,295.32,296.34,1025,25,10000.0,0.09,232,0,2023-07-17 15:08:57 UTC,ZA,Pretoria
clear sky,296.0,294.92,295.32,296.55,1028,22,10000.0,0.51,280,0,2023-07-17 15:23:31 UTC,ZA,Pretoria
clear sky,296.0,294.92,295.32,296.55,1028,22,10000.0,0.51,280,0,2023-07-17 15:26:06 UTC,ZA,Pretoria
clear sky,295.82,294.8,294.76,296.55,1028,25,10000.0,0.51,280,0,2023-07-17 15:40:09 UTC,ZA,Pretoria
clear sky,295.87,294.77,294.93,296.55,1028,22,10000.0,0.51,280,0,2023-07-17 15:51:42 UTC,ZA,Pretoria
clear sky,295.77,294.74,294.93,296.55,1028,25,10000.0,0.51,280,0,2023-07-17 15:59:33 UTC,ZA,Pretoria
clear sky,295.03,294.0,294.38,295.79,1024,28,10000.0,0.2,51,0,2023-07-17 16:10:24 UTC,ZA,Pretoria
clear sky,295.57,294.55,294.84,295.79,1028,26,10000.0,1.54,30,0,2023-07-17 16:19:34 UTC,ZA,Pretoria
clear sky,295.31,294.26,294.84,295.79,1028,26,10000.0,1.54,30,0,2023-07-17 16:28:58 UTC,ZA,Pretoria
clear sky,295.31,294.26,294.84,295.79,1028,26,10000.0,1.54,30,0,2023-07-17 16:28:58 UTC,ZA,Pretoria
clear sky,295.11,294.07,294.58,295.55,1028,27,10000.0,1.54,30,0,2023-07-17 16:50:34 UTC,ZA,Pretoria
clear sky,293.96,292.85,293.26,295.23,1025,29,10000.0,0.24,58,0,2023-07-17 17:03:36 UTC,ZA,Pretoria
clear sky,294.0,292.9,292.71,295.23,1025,29,10000.0,0.24,58,0,2023-07-17 17:09:59 UTC,ZA,Pretoria
clear sky,293.89,292.83,293.55,295.37,1028,31,10000.0,1.54,10,0,2023-07-17 17:20:40 UTC,ZA,Pretoria
