weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,coord,time
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 282.43, 'feels_like': 282.43, 'temp_min': 279.09, 'temp_max': 284.21, 'pressure': 1029, 'humidity': 56}",10000,"{'speed': 0.45, 'deg': 135, 'gust': 0.45}",{'all': 0},1689538081,"{'type': 2, 'id': 2005686, 'country': 'ZA', 'sunrise': 1689483247, 'sunset': 1689521588}",7200,993800,Johannesburg,200,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 282.99, 'feels_like': 282.58, 'temp_min': 280.55, 'temp_max': 286.86, 'pressure': 1028, 'humidity': 49}",10000,"{'speed': 1.54, 'deg': 230}",{'all': 0},1689543077,"{'type': 1, 'id': 1999, 'country': 'ZA', 'sunrise': 1689483160, 'sunset': 1689521607}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 283.02, 'feels_like': 282.61, 'temp_min': 280.55, 'temp_max': 287.41, 'pressure': 1028, 'humidity': 49}",10000,"{'speed': 1.54, 'deg': 230}",{'all': 0},1689543758,"{'type': 1, 'id': 1999, 'country': 'ZA', 'sunrise': 1689483160, 'sunset': 1689521607}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 283.02, 'feels_like': 282.61, 'temp_min': 280.55, 'temp_max': 287.41, 'pressure': 1028, 'humidity': 49}",10000,"{'speed': 1.54, 'deg': 230}",{'all': 0},1689543758,"{'type': 1, 'id': 1999, 'country': 'ZA', 'sunrise': 1689483160, 'sunset': 1689521607}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 282.73, 'feels_like': 282.28, 'temp_min': 280.55, 'temp_max': 284.93, 'pressure': 1028, 'humidity': 49}",10000,"{'speed': 1.54, 'deg': 230}",{'all': 0},1689544403,"{'type': 1, 'id': 1999, 'country': 'ZA', 'sunrise': 1689483160, 'sunset': 1689521607}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 284.38, 'feels_like': 282.5, 'temp_min': 280.84, 'temp_max': 284.38, 'pressure': 1027, 'humidity': 36, 'sea_level': 1027, 'grnd_level': 877}",10000,"{'speed': 2.29, 'deg': 160, 'gust': 3.51}",{'all': 0},1689545232,"{'type': 2, 'id': 2013117, 'country': 'ZA', 'sunrise': 1689569543, 'sunset': 1689608034}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 284.38, 'feels_like': 282.5, 'temp_min': 280.84, 'temp_max': 284.38, 'pressure': 1027, 'humidity': 36, 'sea_level': 1027, 'grnd_level': 877}",10000,"{'speed': 2.29, 'deg': 160, 'gust': 3.51}",{'all': 0},1689545232,"{'type': 2, 'id': 2013117, 'country': 'ZA', 'sunrise': 1689569543, 'sunset': 1689608034}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",00:16:39.797707
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 281.62, 'feels_like': 281.62, 'temp_min': 279.32, 'temp_max': 284.38, 'pressure': 1028, 'humidity': 49}",10000,"{'speed': 0.51, 'deg': 100}",{'all': 0},1689546195,"{'type': 1, 'id': 1999, 'country': 'ZA', 'sunrise': 1689569543, 'sunset': 1689608034}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",00:23:16.030355
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 281.62, 'feels_like': 281.62, 'temp_min': 279.32, 'temp_max': 284.38, 'pressure': 1028, 'humidity': 49}",10000,"{'speed': 0.51, 'deg': 100}",{'all': 0},1689546195,"{'type': 1, 'id': 1999, 'country': 'ZA', 'sunrise': 1689569543, 'sunset': 1689608034}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",00:24:16.506148
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 281.62, 'feels_like': 281.62, 'temp_min': 279.32, 'temp_max': 284.38, 'pressure': 1028, 'humidity': 49}",10000,"{'speed': 0.51, 'deg': 100}",{'all': 0},1689546195,"{'type': 1, 'id': 1999, 'country': 'ZA', 'sunrise': 1689569543, 'sunset': 1689608034}",7200,964137,Pretoria,200,"{'lon': 28.1878, 'lat': -25.7449}",00:26:31.814236
